Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Pulaski County, Arkansas",51419,146662,"9,999 or less",2542,307397.0,104323.0
"Saline County, Arkansas",55790,51266,"9,999 or less",162,99734.0,27989.0
"Sebastian County, Arkansas",45562,46018,"9,999 or less",383,98580.0,22186.0
"Washington County, Arkansas",49502,98735,"9,999 or less",989,200986.0,63784.0
"White County, Arkansas",50238,22871,"9,999 or less",812,60248.0,12692.0
"Alameda County, California",88441,628247,"9,999 or less",7099,1306255.0,631972.0
"Butte County, California",57436,56662,"9,999 or less",752,164972.0,43735.0
"Contra Costa County, California",82799,407062,"9,999 or less",5775,904586.0,391526.0
"El Dorado County, California",86006,59578,"9,999 or less",755,154992.0,60103.0
"Fresno County, California",52287,301517,"9,999 or less",7305,737410.0,165599.0
"Humboldt County, California",50687,33924,"9,999 or less",883,109335.0,35601.0
"Imperial County, California",48408,45376,"9,999 or less",911,128867.0,19717.0
"Kern County, California",50633,271377,"9,999 or less",4758,654441.0,108134.0
"Kings County, California",49326,40545,"9,999 or less",377,111965.0,10930.0
"Lake County, California",52645,,"9,999 or less",,53202.0,8203.0
"Los Angeles County, California",60736,3451180,"9,999 or less",57649,7710575.0,2627965.0
"Madera County, California",49555,43190,"9,999 or less",1394,119406.0,17069.0
"Marin County, California",102034,79483,"9,999 or less",963,206252.0,116189.0
"Mendocino County, California",57812,21557,"9,999 or less",230,71266.0,18898.0
"Merced County, California",49938,86218,"9,999 or less",1021,209139.0,29180.0
"Monterey County, California",55983,130963,"9,999 or less",2775,321073.0,83939.0
"Napa County, California",68088,48728,"9,999 or less",1219,107936.0,39272.0
"Nevada County, California",80412,26486,"9,999 or less",315,84777.0,32546.0
"Orange County, California",70160,1155366,"9,999 or less",16596,2489875.0,1026632.0
"Placer County, California",83654,140259,"9,999 or less",1314,332429.0,137635.0
"Riverside County, California",56743,836635,"9,999 or less",13705,1899182.0,461461.0
"Sacramento County, California",65442,534740,"9,999 or less",8230,1226535.0,400117.0
"San Benito County, California",66878,,"9,999 or less",,51935.0,11092.0
"San Bernardino County, California",53694,726716,"9,999 or less",13182,1641871.0,353798.0
"San Diego County, California",70778,1236458,"9,999 or less",16537,2594849.0,1032992.0
"San Francisco County, California",110581,350025,"9,999 or less",3645,698913.0,412203.0
"San Joaquin County, California",60896,259097,"9,999 or less",4418,593733.0,129443.0
"San Luis Obispo County, California",67973,84647,"9,999 or less",1304,233245.0,84259.0
"San Mateo County, California",100604,288633,"9,999 or less",3242,587887.0,305592.0
"Santa Barbara County, California",61183,134289,"9,999 or less",1772,343094.0,106453.0
"Santa Clara County, California",103509,746015,"9,999 or less",6563,1503214.0,797908.0
"Santa Cruz County, California",71228,79825,"9,999 or less",1065,214684.0,80803.0
"Shasta County, California",55415,55043,"9,999 or less",236,141516.0,30193.0
"Solano County, California",65307,155772,"9,999 or less",2796,352455.0,94550.0
"Sonoma County, California",70717,165686,"9,999 or less",2874,391712.0,136337.0
"Stanislaus County, California",57982,171601,"9,999 or less",2874,405321.0,77811.0
"Sutter County, California",53245,29720,"9,999 or less",938,74369.0,13177.0
"Tehama County, California",47308,,"9,999 or less",,49287.0,10168.0
"Tulare County, California",50518,140584,"9,999 or less",2891,338510.0,51393.0
"Ventura County, California",65648,292265,"9,999 or less",5044,651462.0,228314.0
